,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
501,2016-17,Joshua King,FWD,102,8.6,15,Sunderland,37562,1,54,TRUE,11,15.5,6.4,64,5689,2862,102,2,90
504,2016-17,Kelechi Iheanacho,FWD,108,0,12,Middlesbrough,165027,1,68,TRUE,11,0,0,0,9698,35572,108,1,1
514,2016-17,Lys Mousset,FWD,102,2.1,15,Sunderland,2186,1,52,TRUE,11,11.8,0,10,95,97,102,0,15
524,2016-17,Matej Vydra,FWD,107,0,9,Liverpool,16345,0,45,FALSE,11,0,0,0,29,531,107,0,0
530,2016-17,Michail Antonio,FWD,110,4.2,14,Stoke,417670,4,69,TRUE,11,7.3,2.4,32,16840,81970,110,1,90
531,2016-17,Michy Batshuayi,FWD,104,1.4,6,Everton,43683,1,86,TRUE,11,2.6,3.4,8,191,1574,104,0,11
543,2016-17,Odion Ighalo,FWD,107,2.8,9,Liverpool,159337,2,71,FALSE,11,15.5,3.6,9,735,17133,107,6,90
546,2016-17,Oliver McBurnie,FWD,109,0,11,Man Utd,3598,0,45,TRUE,11,0,0,0,230,248,109,0,0
547,2016-17,Olivier Giroud,FWD,101,2.8,17,Spurs,61197,1,88,TRUE,11,3.1,3.4,21,31687,2045,101,0,21
549,2016-17,Patrick Bamford,FWD,103,0,5,Crystal Palace,2042,0,50,TRUE,11,0,0,0,252,205,103,0,0
560,2016-17,Roberto Firmino,FWD,107,20.6,18,Watford,539612,15,86,TRUE,11,46.3,70.4,89,81616,14145,107,1,90
563,2016-17,Romelu Lukaku,FWD,104,1.4,4,Chelsea,1384047,2,98,FALSE,11,8.6,3.8,2,124059,50289,104,5,90
569,2016-17,Salomón Rondón,FWD,106,7,8,Leicester,192045,2,66,FALSE,11,16.9,4.4,49,8351,24101,106,1,90
574,2016-17,Sergio Agüero,FWD,108,21.5,12,Middlesbrough,1892654,6,131,TRUE,11,34.9,44.6,135,172324,5814,108,0,89
576,2016-17,Shane Long,FWD,105,0,7,Hull,137875,0,61,FALSE,11,0,0,0,190,8150,105,0,0
586,2016-17,Troy Deeney,FWD,107,4.5,9,Liverpool,295440,2,71,FALSE,11,15.2,5.8,24,6133,83876,107,6,90
611,2016-17,Andre Gray,FWD,120,0.1,19,West Brom,122862,1,62,FALSE,12,0.5,0.2,0,1547,5990,120,0,21
613,2016-17,Andy Carroll,FWD,118,0,17,Spurs,54055,0,62,FALSE,12,0,0,0,79,889,118,0,0
615,2016-17,Anthony Martial,FWD,113,4.7,1,Arsenal,110375,3,93,TRUE,12,1.7,12,33,246,2866,113,0,62
617,2016-17,Ashley Barnes,FWD,120,0.8,19,West Brom,32798,1,44,FALSE,12,2.3,0,8,22430,2568,120,1,45
618,2016-17,Ashley Fletcher,FWD,118,0,17,Spurs,6129,0,50,FALSE,12,0,0,0,587,526,118,0,0
627,2016-17,Callum Wilson,FWD,116,0.9,14,Stoke,147693,2,65,FALSE,12,3.8,0,8,814,83117,116,0,68
630,2016-17,Charlie Austin,FWD,115,3.1,9,Liverpool,624733,2,68,TRUE,12,13.8,3,14,75170,36719,115,0,74
632,2016-17,Christian Benteke,FWD,111,4.1,10,Man City,271025,2,76,TRUE,12,1.6,0,44,9240,34563,111,1,80
638,2016-17,Connor Wickham,FWD,111,5.5,10,Man City,16690,4,56,TRUE,12,3.8,30.2,21,1833,676,111,1,45
645,2016-17,Danny Ings,FWD,115,0,13,Southampton,10737,0,55,FALSE,12,0,0,0,51,776,115,0,0
647,2016-17,Danny Welbeck,FWD,113,0,11,Man Utd,3237,0,74,FALSE,12,0,0,0,87,130,113,0,0
654,2016-17,Divock Origi,FWD,115,0.2,13,Southampton,68950,1,65,FALSE,12,0.3,1.2,0,914,2812,115,0,1
655,2016-17,Dominic Calvert-Lewin,FWD,112,0,16,Swansea,721,0,45,TRUE,12,0,0,0,357,118,112,0,0
669,2016-17,Hal Robson-Kanu,FWD,120,0,3,Burnley,9598,1,50,TRUE,12,0.5,0,0,1994,1097,120,0,12
671,2016-17,Harry Kane,FWD,118,11.1,20,West Ham,246693,13,107,TRUE,12,2.6,65,43,42536,2688,118,2,90
678,2016-17,Islam Slimani,FWD,119,0,18,Watford,44698,0,83,FALSE,12,0,0,0,6219,4796,119,0,0
690,2016-17,Jamie Vardy,FWD,119,2.9,18,Watford,386606,5,96,FALSE,12,13.8,0,15,6172,20770,119,2,90
693,2016-17,Jay Rodriguez,FWD,115,0.2,9,Liverpool,7580,1,63,TRUE,12,0.5,1.2,0,43,155,115,0,16
707,2016-17,Joshua King,FWD,116,2.3,14,Stoke,34299,3,54,FALSE,12,3,0,21,578,4083,116,0,80
710,2016-17,Kelechi Iheanacho,FWD,111,0,5,Crystal Palace,148151,0,67,FALSE,12,0,0,0,5425,24571,111,0,0
720,2016-17,Lys Mousset,FWD,116,0,14,Stoke,2300,0,52,FALSE,12,0,0,0,137,111,116,0,0
730,2016-17,Matej Vydra,FWD,119,0,8,Leicester,15884,0,45,TRUE,12,0,0,0,26,492,119,0,0
736,2016-17,Michail Antonio,FWD,118,15.3,17,Spurs,381257,6,68,FALSE,12,10.3,53.8,89,10322,48281,118,3,90
737,2016-17,Michy Batshuayi,FWD,114,0,12,Middlesbrough,43194,0,86,FALSE,12,0,0,0,463,1430,114,0,0
749,2016-17,Odion Ighalo,FWD,119,0,8,Leicester,151582,0,71,TRUE,12,0,0,0,1347,9656,119,0,0
752,2016-17,Oliver McBurnie,FWD,112,0,6,Everton,3736,0,45,FALSE,12,0,0,0,296,253,112,0,0
753,2016-17,Olivier Giroud,FWD,113,8.4,11,Man Utd,60335,7,88,FALSE,12,1.3,33,50,8000,10927,113,0,18
755,2016-17,Patrick Bamford,FWD,120,0,19,West Brom,2081,0,50,FALSE,12,0,0,0,162,219,120,0,0
766,2016-17,Roberto Firmino,FWD,115,8.9,13,Southampton,710045,3,87,FALSE,12,41.5,6.6,41,170837,11756,115,0,90
769,2016-17,Romelu Lukaku,FWD,112,7.5,16,Swansea,1476014,2,99,TRUE,12,17,6.6,51,129275,53043,112,1,90
