,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
69,2016-17,Claudio Bravo,GK,35,0.18181818181818182,11,Man Utd,23168,2,55,False,4,,0.18348623853211007,,14091,2484,1,90,0.0,0.0,0
70,2016-17,Alex McCarthy,GK,31,0.0,1,Arsenal,8638,0,45,False,4,,0.0,,137,557,0,0,0.0,0.0,0
71,2016-17,Hugo Lloris,GK,37,0.40909090909090906,14,Stoke,153485,6,54,False,4,,0.40825688073394495,,2542,16856,0,90,2.6470588235294117,2.0,34
72,2016-17,Fraser Forster,GK,31,0.022727272727272728,1,Arsenal,163680,0,50,False,4,,0.013761467889908256,,1902,23356,2,90,1.3333333333333333,2.0,272
73,2016-17,Eldin Jakupovic,GK,33,0.13636363636363635,3,Burnley,783630,2,41,False,4,,0.14220183486238533,,94563,27280,1,90,0.6666666666666666,4.666666666666667,271
74,2016-17,David de Gea,GK,35,0.7954545454545454,10,Man City,1750983,2,55,True,4,,0.8027522935779816,,39801,53967,2,90,0.3333333333333333,4.666666666666667,272
75,2016-17,Darren Randolph,GK,38,0.0,18,Watford,24312,0,45,True,4,,0.0,,214,1370,0,0,0.0,0.0,0
76,2016-17,Ben Foster,GK,32,0.6136363636363636,2,Bournemouth,588104,3,47,False,4,,0.6100917431192661,,94131,23734,1,90,0.6666666666666666,6.0,271
77,2016-17,Joe Hart,GK,35,0.0,11,Man Utd,79968,0,53,False,4,,0.0,,352,34145,0,0,0.0,0.0,0
78,2016-17,Adrián San Miguel del Castillo,GK,38,0.6590909090909091,18,Watford,140075,1,50,True,4,,0.6697247706422018,,18483,8746,4,90,1.6666666666666667,4.333333333333333,274
79,2016-17,Kasper Schmeichel,GK,44,0.0,3,Burnley,449275,0,50,True,5,0.0,0.0,,6795,16172,0,0,1.656441717791411,3.25,326
80,2016-17,Lee Grant,GK,47,0.0,5,Crystal Palace,1807,0,40,False,5,0.0,0.0,,712,105,0,0,0.0,0.0,0
81,2016-17,Lukasz Fabianski,GK,48,0.484375,13,Southampton,201581,3,50,False,5,0.0,0.48125,,18912,5641,1,90,1.5,5.25,361
82,2016-17,Tom Heaton,GK,44,0.390625,8,Leicester,311311,2,45,False,5,0.0,0.3875,,18816,7958,3,90,1.25,4.75,363
83,2016-17,Paulo Gazzaniga,GK,48,0.0,16,Swansea,310,0,45,True,5,0.0,0.0,,3,13,0,0,0.0,0.0,0
84,2016-17,Sergio Romero,GK,50,0.0,18,Watford,4948,0,49,False,5,0.0,0.0,,47,198,0,0,0.0,0.0,0
