,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
284,2016-17,Jesse Lingard,MID,93,13.1,3,Burnley,17880,3,57,TRUE,10,64.9,24,42,2149,832,93,0,72
288,2016-17,Johann Berg Gudmundsson,MID,93,8.3,11,Man Utd,4447,3,51,FALSE,10,42,22.4,19,177,123,93,0,84
290,2016-17,Jonathan Leko,MID,100,2.7,10,Man City,16537,1,43,TRUE,10,10.6,4.2,12,919,1196,100,2,40
292,2016-17,Jordan Henderson,MID,91,7.7,5,Crystal Palace,49343,7,64,FALSE,10,38.7,38.6,0,2173,3759,91,2,90
296,2016-17,Juan Mata,MID,93,24.4,3,Burnley,106194,3,74,TRUE,10,104,33.6,106,21861,6383,93,0,72
299,2016-17,Kevin De Bruyne,MID,100,3.9,19,West Brom,365354,4,107,FALSE,10,14.6,20.4,4,10559,58388,100,0,23
310,2016-17,Manuel Lanzini,MID,92,5.2,6,Everton,11866,2,64,FALSE,10,24.9,0.8,26,1227,2268,92,2,77
313,2016-17,Marcus Rashford,MID,93,7.5,3,Burnley,333317,2,69,TRUE,10,20.4,4.6,50,16489,51177,93,0,81
314,2016-17,Marc Albrighton,MID,98,0.5,17,Spurs,36886,1,51,FALSE,10,0.1,4.6,0,157,2553,98,0,19
315,2016-17,Mark Noble,MID,92,2.3,6,Everton,69991,2,63,FALSE,10,2.9,12.6,7,92,2822,92,2,90
320,2016-17,Matt Phillips,MID,100,0,10,Man City,5287,0,52,TRUE,10,0,0,0,87,431,100,0,0
322,2016-17,Mesut Özil,MID,97,12,15,Sunderland,368244,5,96,FALSE,10,45.9,32.4,42,25411,8937,97,1,90
326,2016-17,Moussa Sissoko,MID,98,0,8,Leicester,4202,0,68,TRUE,10,0,0,0,159,1288,98,0,0
327,2016-17,N'Golo Kanté,MID,95,2.3,13,Southampton,582712,3,48,FALSE,10,4.7,18.2,0,20947,9300,95,0,90
328,2016-17,Nampalys Mendy,MID,98,0,17,Spurs,15177,0,44,FALSE,10,0,0,0,12,614,98,0,0
329,2016-17,Nathaniel Chalobah,MID,95,0,13,Southampton,735,0,45,FALSE,10,0,0,0,104,49,95,0,0
332,2016-17,Nathan Redmond,MID,95,2.1,4,Chelsea,290792,2,59,TRUE,10,13,2,6,49616,5505,95,2,90
334,2016-17,Nemanja Matic,MID,95,5.6,13,Southampton,144306,3,50,FALSE,10,25.4,17.6,13,26690,3527,95,0,90
342,2016-17,Oriol Romeu Vidal,MID,95,2.8,4,Chelsea,18478,2,45,TRUE,10,4.3,12.6,11,1488,1135,95,2,90
346,2016-17,Paul Pogba,MID,93,18.3,3,Burnley,368145,2,83,TRUE,10,82.1,35.2,66,11526,21146,93,0,90
350,2016-17,Pierre-Emile Højbjerg,MID,95,0.2,4,Chelsea,67806,1,43,TRUE,10,1.3,0.6,0,1561,3673,95,0,13
351,2016-17,Raheem Sterling,MID,100,10.3,19,West Brom,837197,3,84,FALSE,10,30.8,6,66,28219,70119,100,0,76
352,2016-17,Riyad Mahrez,MID,98,3.4,17,Spurs,464193,1,91,FALSE,10,32,2.2,0,764,27170,98,1,71
355,2016-17,Robert Snodgrass,MID,99,0,18,Watford,191731,0,56,FALSE,10,0,0,0,409,114025,99,0,0
358,2016-17,Ross Barkley,MID,92,14.4,20,West Ham,304930,10,72,TRUE,10,34.2,46.8,63,698,22165,92,0,86
359,2016-17,Ruben Loftus-Cheek,MID,95,0,13,Southampton,2673,0,51,FALSE,10,0,0,0,12,72,95,0,0
361,2016-17,Ryan Fraser,MID,94,1.1,12,Middlesbrough,241,1,49,FALSE,10,3.5,1.8,6,4,8,94,0,31
362,2016-17,Sadio Mané,MID,91,8.4,5,Crystal Palace,604291,2,90,FALSE,10,39.8,14.4,30,48570,6343,91,2,90
365,2016-17,Sam Field,MID,100,0,10,Man City,553,0,45,TRUE,10,0,0,0,4,21,100,0,0
372,2016-17,Sofiane Boufal,MID,95,0.7,4,Chelsea,3194,1,68,TRUE,10,2.6,4.2,0,2046,77,95,0,30
373,2016-17,Theo Walcott,MID,97,0,15,Sunderland,826565,0,81,FALSE,10,0,0,0,99450,102070,97,0,0
376,2016-17,Tom Cleverley,MID,92,4.1,20,West Ham,5768,1,53,TRUE,10,15.7,8.4,17,48,188,92,0,19
377,2016-17,Tom Davies,MID,92,0,20,West Ham,1757,0,44,TRUE,10,0,0,0,31,65,92,0,0
385,2016-17,Wilfried Zaha,MID,91,10.7,9,Liverpool,85666,5,53,TRUE,10,31,44.6,31,3789,4936,91,4,90
386,2016-17,Willian Borges Da Silva,MID,95,1,13,Southampton,173827,1,72,FALSE,10,5.5,0.2,4,3135,6749,95,0,13
389,2016-17,Xherdan Shaqiri,MID,96,1.6,16,Swansea,239261,1,64,TRUE,10,14.1,2,0,94523,2146,96,1,25
391,2016-17,Aaron Lennon,MID,104,0.7,4,Chelsea,7551,1,56,FALSE,11,1.6,5.6,0,50,221,104,1,31
392,2016-17,Aaron Ramsey,MID,101,0.5,17,Spurs,42014,1,76,TRUE,11,2.4,0,4,2418,431,101,0,26
393,2016-17,Abdoulaye Doucouré,MID,107,0,9,Liverpool,665,0,47,FALSE,11,0,0,0,5,31,107,0,0
394,2016-17,Adama Traoré,MID,108,3.1,10,Man City,7151,2,48,FALSE,11,16.3,13,2,1395,732,108,1,90
395,2016-17,Adam Forshaw,MID,108,2.6,10,Man City,5200,1,45,FALSE,11,2.8,4,19,1337,445,108,1,90
396,2016-17,Adam Lallana,MID,107,12.2,18,Watford,451164,12,71,TRUE,11,61.6,52.6,8,31890,44398,107,0,70
399,2016-17,Alex Iwobi,MID,101,3.8,17,Spurs,52055,2,58,TRUE,11,13.3,7.4,17,2456,15293,101,1,69
401,2016-17,Alex Oxlade-Chamberlain,MID,101,1.4,17,Spurs,56847,1,58,TRUE,11,10.3,2,2,3291,2800,101,0,20
403,2016-17,Andreas Pereira,MID,109,0,16,Swansea,2091,0,44,FALSE,11,0,0,0,2,42,109,0,0
406,2016-17,Andros Townsend,MID,103,6.8,3,Burnley,114828,6,61,FALSE,11,35.2,16,17,704,14855,103,3,90
414,2016-17,Bamidele Alli,MID,101,0,1,Arsenal,259670,0,82,FALSE,11,0,0,0,7065,28734,101,0,0
425,2016-17,Cheikhou Kouyaté,MID,110,1.7,14,Stoke,44069,2,51,TRUE,11,0.4,16.2,0,707,2593,110,1,90
427,2016-17,Christian Eriksen,MID,101,6.7,1,Arsenal,200927,2,81,FALSE,11,29.7,17.4,20,1416,18378,101,1,90
438,2016-17,Daniel James,MID,109,0,11,Man Utd,73,0,45,TRUE,11,0,0,0,43,13,109,0,0
442,2016-17,Dan Gosling,MID,102,15.5,15,Sunderland,5831,8,47,TRUE,11,34.2,50,71,597,342,102,2,90
447,2016-17,Demarai Gray,MID,106,1.9,19,West Brom,25304,1,48,TRUE,11,12.4,2.8,4,207,1733,106,1,24
453,2016-17,Erik Lamela,MID,101,0,1,Arsenal,213443,0,67,FALSE,11,0,0,0,309,48729,101,0,0
455,2016-17,Fabian Delph,MID,108,0,12,Middlesbrough,4269,0,47,TRUE,11,0,0,0,14,146,108,0,0
460,2016-17,Georginio Wijnaldum,MID,107,7.9,18,Watford,56812,5,76,TRUE,11,23.3,36.4,19,243,2800,107,1,28
461,2016-17,Granit Xhaka,MID,101,3.8,17,Spurs,123782,3,52,TRUE,11,16.3,16.2,5,1193,5912,101,1,90
462,2016-17,Gylfi Sigurdsson,MID,109,4.8,11,Man Utd,137107,5,72,TRUE,11,19.4,18.2,10,4031,7978,109,3,90
464,2016-17,Harrison Reed,MID,105,0,7,Hull,2498,0,43,FALSE,11,0,0,0,282,148,105,0,0
467,2016-17,Harry Winks,MID,101,0,1,Arsenal,696,1,45,FALSE,11,0,0,0,26,30,101,0,2
468,2016-17,Heung-Min Son,MID,101,1,1,Arsenal,316273,2,74,FALSE,11,4.3,1.2,4,10214,165331,101,1,88
471,2016-17,Ilkay Gündogan,MID,108,3.8,12,Middlesbrough,541667,3,57,TRUE,11,10.9,4.2,23,478420,3624,108,0,74
474,2016-17,Jack Cork,MID,109,0,11,Man Utd,3287,0,47,TRUE,11,0,0,0,15,189,109,0,0
476,2016-17,Jack Wilshere,MID,102,8.2,15,Sunderland,31858,2,59,TRUE,11,24,17.8,40,2604,3260,102,2,90
477,2016-17,Jake Livermore,MID,105,1.1,13,Southampton,4247,2,48,TRUE,11,0.8,8.6,2,191,229,105,1,90
478,2016-17,James McArthur,MID,103,5.2,3,Burnley,95651,1,50,FALSE,11,35.8,1.2,15,55191,4327,103,2,87
479,2016-17,James McCarthy,MID,104,0,4,Chelsea,6664,0,48,FALSE,11,0,0,0,17,249,104,0,0
480,2016-17,James Milner,MID,107,11,18,Watford,228152,2,66,TRUE,11,26.3,32.6,51,12358,67249,107,1,90
483,2016-17,James Ward-Prowse,MID,105,5.1,7,Hull,6611,1,51,FALSE,11,33.1,8.4,9,65,382,105,0,14
485,2016-17,Jarrod Bowen,MID,105,0,13,Southampton,3526,0,45,TRUE,11,0,0,0,323,164,105,0,0
488,2016-17,Jeffrey Schlupp,MID,106,0,19,West Brom,8996,0,49,TRUE,11,0,0,0,137,235,106,0,0
489,2016-17,Jeff Hendrick,MID,103,4,5,Crystal Palace,1970,2,54,TRUE,11,1.2,3.4,35,103,200,103,2,85
490,2016-17,Jesse Lingard,MID,109,0.4,16,Swansea,17899,1,57,FALSE,11,2.4,0,2,1224,1592,109,0,10
494,2016-17,Johann Berg Gudmundsson,MID,103,9.7,5,Crystal Palace,4548,13,51,TRUE,11,30.1,55.4,11,245,198,103,2,90
496,2016-17,Jonathan Leko,MID,106,0,8,Leicester,17105,0,43,FALSE,11,0,0,0,1701,1399,106,0,0
498,2016-17,Jordan Henderson,MID,107,4.6,18,Watford,56872,2,64,TRUE,11,24.8,15.6,6,8876,2752,107,1,90
502,2016-17,Juan Mata,MID,109,3.6,16,Swansea,113062,1,74,FALSE,11,22,8.2,6,16577,11833,109,1,80
505,2016-17,Kevin De Bruyne,MID,108,15.7,12,Middlesbrough,404629,8,107,TRUE,11,85.3,38.2,33,52137,17771,108,1,90
516,2016-17,Manuel Lanzini,MID,110,0.8,14,Stoke,12238,3,64,TRUE,11,7,0,1,2240,2214,110,0,61
519,2016-17,Marcus Rashford,MID,109,0,16,Swansea,310646,0,69,FALSE,11,0,0,0,16165,43111,109,0,0
520,2016-17,Marc Albrighton,MID,106,0,19,West Brom,35064,0,51,TRUE,11,0,0,0,364,2268,106,0,0
521,2016-17,Mark Noble,MID,110,0.6,14,Stoke,67316,1,62,TRUE,11,3.4,1.6,1,212,2962,110,1,90
526,2016-17,Matt Phillips,MID,106,14.5,8,Leicester,4799,13,52,FALSE,11,39.1,62.2,44,70,586,106,1,82
528,2016-17,Mesut Özil,MID,101,10.6,17,Spurs,376786,5,96,TRUE,11,72.8,14.4,19,26882,24220,101,1,90
532,2016-17,Moussa Sissoko,MID,101,0,1,Arsenal,3678,0,67,FALSE,11,0,0,0,180,859,101,0,0
533,2016-17,N'Golo Kanté,MID,104,4.2,6,Everton,591482,3,48,TRUE,11,17.2,16.6,8,21989,17896,104,0,90
534,2016-17,Nampalys Mendy,MID,106,0,19,West Brom,14573,0,44,TRUE,11,0,0,0,36,647,106,0,0
535,2016-17,Nathaniel Chalobah,MID,104,0,6,Everton,750,0,45,TRUE,11,0,0,0,80,87,104,0,0
538,2016-17,Nathan Redmond,MID,105,6.3,7,Hull,343142,2,60,FALSE,11,34.2,6.4,22,63737,13776,105,2,76
540,2016-17,Nemanja Matic,MID,104,7.5,6,Everton,161143,6,50,TRUE,11,38.7,30,6,22968,8812,104,0,90
548,2016-17,Oriol Romeu Vidal,MID,105,0.8,7,Hull,20468,1,45,FALSE,11,3.8,3.2,1,3244,1458,105,2,90
552,2016-17,Paul Pogba,MID,109,9.4,16,Swansea,315083,8,82,FALSE,11,26.8,38,29,2556,56927,109,1,90
556,2016-17,Pierre-Emile Højbjerg,MID,105,0,7,Hull,66614,0,43,FALSE,11,0,0,0,2906,4388,105,0,0
557,2016-17,Raheem Sterling,MID,108,0,12,Middlesbrough,759602,0,83,TRUE,11,0,0,0,40596,120481,108,0,0
558,2016-17,Riyad Mahrez,MID,106,6.5,19,West Brom,440213,5,91,TRUE,11,29.2,25.4,10,2710,27474,106,2,90
561,2016-17,Robert Snodgrass,MID,105,10.6,13,Southampton,134091,14,55,TRUE,11,32.8,55.6,18,136,57814,105,0,65
564,2016-17,Ross Barkley,MID,104,2.3,4,Chelsea,302141,2,72,FALSE,11,22.3,1,0,6640,10261,104,5,90
565,2016-17,Ruben Loftus-Cheek,MID,104,0,6,Everton,2638,0,51,TRUE,11,0,0,0,14,68,104,0,0
567,2016-17,Ryan Fraser,MID,102,1.9,15,Sunderland,251,1,49,TRUE,11,16,2.6,0,17,10,102,0,9
568,2016-17,Sadio Mané,MID,107,14,18,Watford,585330,13,90,TRUE,11,22.2,72.6,45,20267,42379,107,0,62
571,2016-17,Sam Field,MID,106,0,8,Leicester,543,0,44,FALSE,11,0,0,0,12,29,106,0,0
578,2016-17,Sofiane Boufal,MID,105,5.9,7,Hull,3854,1,68,FALSE,11,40,13,6,1134,586,105,0,25
579,2016-17,Theo Walcott,MID,101,1.3,17,Spurs,541576,2,78,TRUE,11,4.3,2,7,11463,297529,101,1,70
582,2016-17,Tom Cleverley,MID,104,2.3,4,Chelsea,5726,2,52,FALSE,11,8.3,13,2,76,184,104,5,90
583,2016-17,Tom Davies,MID,104,0.2,4,Chelsea,1764,1,44,FALSE,11,1.3,0.4,0,60,92,104,0,25
591,2016-17,Wilfried Zaha,MID,103,10.4,3,Burnley,90789,5,53,FALSE,11,37.7,36.8,29,9111,5065,103,3,90
592,2016-17,Willian Borges Da Silva,MID,104,0,6,Everton,165573,0,72,TRUE,11,0,0,0,2332,11083,104,0,0
595,2016-17,Xherdan Shaqiri,MID,110,0,20,West Ham,188544,0,64,FALSE,11,0,0,0,10683,62687,110,0,0
597,2016-17,Aaron Lennon,MID,112,0.6,16,Swansea,7501,2,56,TRUE,12,3.2,0,4,60,190,112,1,65
598,2016-17,Aaron Ramsey,MID,113,1.1,11,Man Utd,42010,1,76,FALSE,12,8.8,0.4,2,807,1068,113,1,90
599,2016-17,Abdoulaye Doucouré,MID,119,0,8,Leicester,664,0,46,TRUE,12,0,0,0,8,19,119,0,0
600,2016-17,Adama Traoré,MID,114,5.5,4,Chelsea,7690,2,48,TRUE,12,14.9,17.2,23,1095,714,114,1,90
601,2016-17,Adam Forshaw,MID,114,2.5,4,Chelsea,5518,2,45,TRUE,12,3.9,9.2,12,628,402,114,1,88
