,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
1432,2016-17,Adrián San Miguel del Castillo,GK,154,0,3,Burnley,94340,0,48,TRUE,16,0,0,0,452,2976,154,0,0
1435,2016-17,Alex McCarthy,GK,159,0,14,Stoke,6524,0,44,FALSE,16,0,0,0,9,97,159,0,0
1452,2016-17,Ben Foster,GK,153,2.4,16,Swansea,673497,3,47,TRUE,16,0,23.8,0,8125,5968,153,1,90
1467,2016-17,Claudio Bravo,GK,157,1.3,18,Watford,87949,6,54,TRUE,16,0,13,0,630,7583,157,0,90
1479,2016-17,Darren Randolph,GK,154,1.8,3,Burnley,25620,8,44,TRUE,16,0,17.8,0,2443,279,154,0,90
1480,2016-17,David de Gea,GK,155,2.6,5,Crystal Palace,1504781,2,54,FALSE,16,10,16.2,0,13102,8496,155,1,90
1487,2016-17,Eldin Jakupovic,GK,160,0,17,Spurs,777750,0,40,FALSE,16,0,0,0,4196,9084,160,0,0
1495,2016-17,Fraser Forster,GK,159,2.2,14,Stoke,218218,7,50,FALSE,16,0,22.4,0,9472,2603,159,0,90
1506,2016-17,Hugo Lloris,GK,160,5.1,7,Hull,305034,8,55,TRUE,16,10,41.2,0,12673,3031,160,0,90
1510,2016-17,Jack Butland,GK,159,0,13,Southampton,46570,0,46,TRUE,16,0,0,0,61,853,159,0,0
1530,2016-17,Joe Hart,GK,157,0,18,Watford,47509,0,53,TRUE,16,0,0,0,14,271,157,0,0
1536,2016-17,Jordan Pickford,GK,152,3.6,4,Chelsea,643576,3,42,TRUE,16,0,35.6,0,5231,4988,152,1,90
1541,2016-17,Kasper Schmeichel,GK,151,0,2,Bournemouth,249519,0,49,FALSE,16,0,0,0,187,3949,151,0,0
1549,2016-17,Lee Grant,GK,159,2.5,13,Southampton,191542,10,42,TRUE,16,0,25,0,18576,1652,159,0,90
1550,2016-17,Lukasz Fabianski,GK,153,1.2,19,West Brom,189142,1,50,FALSE,16,0.1,11.6,0,1219,1999,153,3,90
1579,2016-17,Nick Pope,GK,154,0,20,West Ham,79128,0,40,FALSE,16,0,0,0,135,355,154,0,0
1589,2016-17,Paulo Gazzaniga,GK,159,0,14,Stoke,292,0,45,FALSE,16,0,0,0,4,2,159,0,0
1614,2016-17,Sergio Romero,GK,155,0,5,Crystal Palace,5343,0,47,FALSE,16,0,0,0,26,50,155,0,0
1623,2016-17,Tom Heaton,GK,154,5.8,20,West Ham,571350,12,48,FALSE,16,0,57.8,0,7803,8093,154,1,90
1628,2016-17,Wayne Hennessey,GK,155,3,11,Man Utd,87534,2,43,TRUE,16,0,29.6,0,476,1212,155,2,90
1632,2016-17,Willy Caballero,GK,157,0,18,Watford,15005,0,48,TRUE,16,0,0,0,22,153,157,0,0
1643,2016-17,Adrián San Miguel del Castillo,GK,170,0,7,Hull,91651,0,48,TRUE,17,0,0,0,628,3461,170,0,0
1646,2016-17,Alex McCarthy,GK,161,0,2,Bournemouth,6439,0,44,FALSE,17,0,0,0,3,94,161,0,0
1663,2016-17,Ben Foster,GK,169,1.5,11,Man Utd,664288,2,47,TRUE,17,0,15.4,0,3461,13373,169,2,90
1678,2016-17,Claudio Bravo,GK,164,0.1,1,Arsenal,83194,2,53,TRUE,17,0,1.2,0,454,5492,164,1,90
1690,2016-17,Darren Randolph,GK,170,3,7,Hull,30325,8,44,TRUE,17,0,30,0,4577,361,170,0,90
1691,2016-17,David de Gea,GK,169,0.7,19,West Brom,1498564,6,54,FALSE,17,0,7,0,9387,19052,169,0,90
