,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
56,2016-17,Andre Gray,FWD,12,0.4550898203592814,9,Liverpool,371840,10,65,True,2,0.1911532385466035,0.6484375,0.18181818181818182,4485,52956,0,90,1.0,2.0,90
57,2016-17,Oliver McBurnie,FWD,25,0.017094017094017096,8,Leicester,0,1,45,False,3,0.038655462184873944,0.0,0.0,0,0,0,5,0.0,0.0,0
58,2016-17,Troy Deeney,FWD,28,0.2136752136752137,1,Arsenal,136817,1,69,True,3,0.0722689075630252,0.0,0.323943661971831,4164,33792,3,90,1.5,3.0,183
59,2016-17,Shane Long,FWD,26,0.17948717948717952,15,Sunderland,387604,1,64,True,3,0.058823529411764705,0.10344827586206896,0.18309859154929578,24953,80504,1,24,1.6363636363636365,2.0,166
60,2016-17,Sergio Agüero,FWD,29,0.4444444444444445,20,West Ham,1943851,2,131,True,3,0.29411764705882354,0.0,0.5070422535211268,213510,8885,1,87,1.0465116279069766,11.0,173
61,2016-17,Salomón Rondón,FWD,30,0.41025641025641024,12,Middlesbrough,143954,2,65,True,3,0.08403361344537816,0.0,0.647887323943662,36458,19023,0,90,1.0,5.0,180
62,2016-17,Romelu Lukaku,FWD,23,1.0,14,Stoke,223928,2,90,True,3,0.5831932773109244,0.28078817733990147,1.0,20183,37101,0,90,0.0,1.0,0
63,2016-17,Roberto Firmino,FWD,27,0.811965811965812,17,Spurs,295309,5,84,False,3,1.0,0.2857142857142857,0.3380281690140845,9387,76187,1,90,2.5,2.0,181
64,2016-17,Olivier Giroud,FWD,28,0.0,18,Watford,49090,0,90,False,3,0.0,0.0,0.0,6637,7816,0,0,0.0,1.0,0
65,2016-17,Odion Ighalo,FWD,28,0.5299145299145299,1,Arsenal,229150,1,74,True,3,0.21512605042016808,0.270935960591133,0.5352112676056338,2702,65573,3,90,1.5882352941176472,2.0,173
66,2016-17,Michy Batshuayi,FWD,21,0.042735042735042736,3,Burnley,99391,1,90,True,3,0.0,0.0,0.08450704225352113,20699,11280,0,11,0.0,5.0,24
67,2016-17,Michail Antonio,FWD,29,0.7008547008547008,10,Man City,152864,7,70,False,3,0.03529411764705882,1.0,0.5492957746478874,22855,11297,3,90,0.6382978723404256,11.0,144
68,2016-17,Matej Vydra,FWD,28,0.0,1,Arsenal,30358,0,45,True,3,0.0,0.0,0.0,2067,4123,0,0,0.0,1.0,0
69,2016-17,Kelechi Iheanacho,FWD,29,0.0,20,West Ham,51414,0,69,True,3,0.0,0.0,0.0,4750,13335,0,0,0.0,2.5,19
70,2016-17,Joshua King,FWD,22,0.8547008547008548,5,Crystal Palace,23376,9,55,False,3,0.4,0.9556650246305418,0.5211267605633803,2176,2431,1,90,2.0,2.0,181
