,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
321,2016-17,Matt Targett,DEF,95,0,4,Chelsea,18482,0,43,TRUE,10,0,0,0,25,2054,95,0,0
323,2016-17,Michael Keane,DEF,93,8.2,11,Man Utd,84302,6,49,FALSE,10,14.5,57.8,10,2092,3826,93,0,90
330,2016-17,Nathaniel Clyne,DEF,91,2.6,5,Crystal Palace,406777,1,56,FALSE,10,12.3,11.2,2,17884,7453,91,2,90
331,2016-17,Nathan Aké,DEF,94,0,12,Middlesbrough,39879,0,43,FALSE,10,0,0,0,129,1518,94,0,0
333,2016-17,Neil Taylor,DEF,96,3,14,Stoke,12893,1,43,FALSE,10,9.4,19.4,1,119,1070,96,3,90
336,2016-17,Nicolás Otamendi,DEF,100,2.3,19,West Brom,124642,6,59,FALSE,10,1.2,17.6,4,1153,6393,100,0,90
338,2016-17,Ola Aina,DEF,95,0,13,Southampton,2398,0,47,FALSE,10,0,0,0,24,70,95,0,0
339,2016-17,Oleksandr Zinchenko,DEF,100,0,19,West Brom,1074,0,53,FALSE,10,0,0,0,3,13,100,0,0
344,2016-17,Patrick van Aanholt,DEF,97,2,1,Arsenal,179399,0,50,TRUE,10,6.3,12.4,1,706,10258,97,4,90
347,2016-17,Phil Bardsley,DEF,96,1.1,16,Swansea,5505,2,44,TRUE,10,1,10,0,185,235,96,1,90
348,2016-17,Phil Jagielka,DEF,92,0.3,20,West Ham,275527,1,51,TRUE,10,0,3.4,0,8836,12053,92,0,8
349,2016-17,Phil Jones,DEF,93,0,3,Burnley,5922,0,47,TRUE,10,0,0,0,22,188,93,0,0
353,2016-17,Robert Kenedy Nunes do Nascimento,DEF,99,0,7,Hull,1184,0,52,TRUE,10,0,0,0,2,101,99,0,0
356,2016-17,Rob Holding,DEF,97,0,15,Sunderland,26570,0,42,FALSE,10,0,0,0,281,2017,97,0,0
360,2016-17,Ryan Bertrand,DEF,95,6.4,4,Chelsea,35406,1,54,TRUE,10,43.1,18.4,2,173,4262,95,2,77
364,2016-17,Sam Byram,DEF,92,0,6,Everton,15487,0,44,FALSE,10,0,0,0,10,1640,92,0,0
366,2016-17,Scott Dann,DEF,91,3.6,9,Liverpool,163391,0,54,TRUE,10,10.8,19.2,6,1139,4638,91,4,90
367,2016-17,Seamus Coleman,DEF,92,4.3,20,West Ham,194061,6,55,TRUE,10,4.7,17.4,21,3823,13532,92,0,90
371,2016-17,Shkodran Mustafi,DEF,97,3.2,15,Sunderland,68714,2,60,FALSE,10,11.5,20.8,0,9171,1802,97,1,90
374,2016-17,Timothy Fosu-Mensah,DEF,93,0,3,Burnley,6350,0,42,TRUE,10,0,0,0,157,212,93,0,0
375,2016-17,Toby Alderweireld,DEF,98,0,8,Leicester,566075,0,64,TRUE,10,0,0,0,334,67075,98,0,0
379,2016-17,Trent Alexander-Arnold,DEF,91,0,5,Crystal Palace,1253,0,44,FALSE,10,0,0,0,13,32,91,0,0
381,2016-17,Tyrone Mings,DEF,94,0,12,Middlesbrough,1163,0,45,FALSE,10,0,0,0,36,51,94,0,0
382,2016-17,Virgil van Dijk,DEF,95,2.2,4,Chelsea,364456,1,54,TRUE,10,1.4,15,6,10665,7499,95,2,90
384,2016-17,Wes Morgan,DEF,98,1.4,17,Spurs,804104,2,50,FALSE,10,0.2,13.4,0,3988,31411,98,1,90
388,2016-17,Winston Reid,DEF,92,2.1,6,Everton,106273,0,50,FALSE,10,0.3,20.4,0,31657,2247,92,2,90
390,2016-17,Aaron Cresswell,DEF,110,2,14,Stoke,15004,2,53,TRUE,11,1.9,14.4,4,2564,452,110,1,90
398,2016-17,Ainsley Maitland-Niles,DEF,101,0,17,Spurs,33,0,45,TRUE,11,0,0,0,11,10,101,0,0
402,2016-17,Alfie Mawson,DEF,109,2.3,11,Man Utd,853,1,45,TRUE,11,0.7,18.6,4,117,61,109,3,90
404,2016-17,Andrew Robertson,DEF,105,0,13,Southampton,42822,0,44,TRUE,11,0,0,0,9,5487,105,0,0
408,2016-17,Angelo Ogbonna,DEF,110,4.5,14,Stoke,37153,2,48,TRUE,11,2.2,24,19,1651,942,110,1,90
410,2016-17,Arthur Masuaku,DEF,110,0,14,Stoke,7687,0,48,TRUE,11,0,0,0,3,461,110,0,0
413,2016-17,Ashley Young,DEF,109,3,16,Swansea,2681,2,52,FALSE,11,7.3,22.6,0,70,130,109,1,90
415,2016-17,Benjamin Chilwell,DEF,106,0,19,West Brom,5681,0,43,TRUE,11,0,0,0,22,402,106,0,0
416,2016-17,Ben Davies,DEF,101,0,1,Arsenal,10303,0,48,FALSE,11,0,0,0,124,1122,101,0,0
418,2016-17,Ben Gibson,DEF,108,1.5,10,Man City,204928,2,46,FALSE,11,0.1,15.2,0,39228,5672,108,1,90
419,2016-17,Ben Mee,DEF,103,3.5,5,Crystal Palace,45152,1,45,TRUE,11,0.1,34.4,0,12725,1191,103,2,90
420,2016-17,Branislav Ivanovic,DEF,104,0,6,Everton,154347,0,58,TRUE,11,0,0,0,321,5655,104,0,0
422,2016-17,Calum Chambers,DEF,108,2.1,10,Man City,119542,2,44,FALSE,11,0.2,20.6,0,1972,2257,108,1,90
423,2016-17,Cameron Carter-Vickers,DEF,101,0,1,Arsenal,1656,0,44,FALSE,11,0,0,0,54,66,101,0,0
428,2016-17,Christian Fuchs,DEF,106,5.7,19,West Brom,353094,1,54,TRUE,11,21.2,36,0,43436,8286,106,2,90
429,2016-17,Christian Kabasele,DEF,107,0,9,Liverpool,2132,0,48,FALSE,11,0,0,0,34,69,107,0,0
430,2016-17,Chris Smalling,DEF,109,0,16,Swansea,51157,0,59,FALSE,11,0,0,0,136,4808,109,0,0
433,2016-17,Craig Cathcart,DEF,107,0,9,Liverpool,10827,0,44,FALSE,11,0,0,0,8,941,107,0,0
434,2016-17,Craig Dawson,DEF,106,7.1,8,Leicester,69039,2,49,FALSE,11,21.6,14.2,35,236,3650,106,1,90
435,2016-17,Cédric Soares,DEF,105,0,7,Hull,44958,0,49,FALSE,11,0,0,0,282,5908,105,0,0
436,2016-17,César Azpilicueta,DEF,104,2.5,6,Everton,499148,6,60,TRUE,11,4.7,19.8,0,53892,7245,104,0,90
437,2016-17,Daniel Amartey,DEF,106,0,19,West Brom,7296,0,45,TRUE,11,0,0,0,247,849,106,0,0
440,2016-17,Danny Rose,DEF,101,8,1,Arsenal,229360,2,59,FALSE,11,53.9,22.2,4,4920,8200,101,1,90
445,2016-17,David Luiz Moreira Marinho,DEF,104,3.9,6,Everton,65838,6,60,TRUE,11,0.1,21.4,17,10434,1989,104,0,90
446,2016-17,DeAndre Yedlin,DEF,101,0,1,Arsenal,8000,0,44,FALSE,11,0,0,0,4,205,101,0,0
451,2016-17,Eric Bailly,DEF,109,0,16,Swansea,325641,0,54,FALSE,11,0,0,0,216,73854,109,0,0
452,2016-17,Eric Dier,DEF,101,2.2,1,Arsenal,223237,1,51,FALSE,11,0.8,20.8,0,595,9754,101,1,90
454,2016-17,Erik Pieters,DEF,110,1.5,20,West Ham,172080,2,45,FALSE,11,5.4,9.2,0,10739,4337,110,1,90
456,2016-17,Federico Fernández,DEF,109,0,11,Man Utd,63657,0,43,TRUE,11,0,0,0,229,2889,109,0,0
457,2016-17,Fernando Luiz Rosa,DEF,108,6.7,12,Middlesbrough,78875,2,54,TRUE,11,24.4,13.2,29,1001,10613,108,1,90
459,2016-17,Gary Cahill,DEF,104,1.8,6,Everton,276681,6,60,TRUE,11,2.2,14,2,41483,4467,104,0,83
466,2016-17,Harry Maguire,DEF,105,1.1,13,Southampton,1759,2,44,TRUE,11,1,2.8,7,155,53,105,1,73
470,2016-17,Héctor Bellerín,DEF,101,3.3,17,Spurs,1049720,2,66,TRUE,11,2.8,8.2,22,7475,86439,101,1,90
475,2016-17,Jack Stephens,DEF,105,0,7,Hull,15360,0,40,FALSE,11,0,0,0,579,463,105,0,0
481,2016-17,James Tarkowski,DEF,103,0.4,5,Crystal Palace,74505,1,40,TRUE,11,0.3,3.2,0,10525,2762,103,1,17
482,2016-17,James Tomkins,DEF,103,0,3,Burnley,4688,0,50,FALSE,11,0,0,0,167,284,103,0,0
486,2016-17,Javier Manquillo,DEF,102,0,2,Bournemouth,1887,0,45,FALSE,11,0,0,0,76,149,102,0,0
491,2016-17,Joel Matip,DEF,107,2.7,18,Watford,94585,2,54,TRUE,11,0.8,22.4,4,16840,1592,107,1,90
492,2016-17,Joel Ward,DEF,103,2.2,3,Burnley,35564,1,49,FALSE,11,9,8.4,5,727,1811,103,3,90
495,2016-17,John Stones,DEF,108,2.6,12,Middlesbrough,1091767,2,50,TRUE,11,2.9,17.2,6,65029,16495,108,1,90
497,2016-17,Jonny Evans,DEF,106,1.9,8,Leicester,292006,2,45,FALSE,11,0.3,18.6,0,2443,9811,106,1,90
500,2016-17,Joseph Gomez,DEF,107,0,18,Watford,1108,0,49,TRUE,11,0,0,0,13,31,107,0,0
506,2016-17,Kevin Long,DEF,103,0,5,Crystal Palace,2992,0,40,TRUE,11,0,0,0,1895,378,103,0,0
507,2016-17,Kieran Gibbs,DEF,101,0,17,Spurs,22122,0,48,TRUE,11,0,0,0,1398,967,101,0,0
508,2016-17,Kieran Trippier,DEF,101,0.4,1,Arsenal,4122,1,48,FALSE,11,0.6,1,2,49,120,101,0,11
509,2016-17,Kurt Zouma,DEF,104,0,6,Everton,7990,0,53,TRUE,11,0,0,0,72,181,104,0,0
510,2016-17,Kyle Walker,DEF,101,3,1,Arsenal,1568587,2,61,FALSE,11,12.4,11.8,6,31217,35826,101,1,79
513,2016-17,Luke Shaw,DEF,109,0,16,Swansea,543657,0,54,FALSE,11,0,0,0,15082,14317,109,0,0
515,2016-17,Mamadou Sakho,DEF,107,0,18,Watford,3683,0,47,TRUE,11,0,0,0,29,93,107,0,0
517,2016-17,Marcos Alonso,DEF,104,11.5,6,Everton,40323,13,59,TRUE,11,40.9,47.8,26,19037,1305,104,0,90
518,2016-17,Marcos Rojo,DEF,109,2.3,16,Swansea,15389,2,52,FALSE,11,0.8,22.4,0,948,331,109,1,90
522,2016-17,Martin Kelly,DEF,103,0.4,3,Burnley,34586,0,44,FALSE,11,1.3,2.4,0,1214,1722,103,2,58
523,2016-17,Mason Holgate,DEF,104,0,4,Chelsea,136496,0,42,FALSE,11,0,0,0,2592,10577,104,0,0
525,2016-17,Matthew Lowton,DEF,103,5.9,5,Crystal Palace,32469,1,45,TRUE,11,18.9,22.4,18,4593,717,103,2,90
527,2016-17,Matt Targett,DEF,105,0,7,Hull,16901,0,43,FALSE,11,0,0,0,47,1636,105,0,0
529,2016-17,Michael Keane,DEF,103,4.2,5,Crystal Palace,98866,1,49,TRUE,11,0.1,39.8,2,14860,2136,103,2,90
536,2016-17,Nathaniel Clyne,DEF,107,4.2,18,Watford,409389,2,56,TRUE,11,26.8,13.4,2,12364,12334,107,1,90
537,2016-17,Nathan Aké,DEF,102,0,15,Sunderland,39033,0,42,TRUE,11,0,0,0,437,1501,102,0,0
